Latitude,Longitude,Date,OSM,Forest,Precipitation1,Precipitation2,Damage,Dams,Output_Label
29.2756,-97.6084,11/2009/20,0,0,37.6,6,0,67.73375405,1
30.1148,-94.1628,09/2009/9,281,0,11.4,8.7,0,63.28612979,1
30.1716,-93.2351,09/2009/28,185,0,2.6,0,0,64.2182577,1
37.2582,-86.9808,11/2009/1,5,0,0,40.5,0,20.305689,1
37.2686,-89.5321,11/2009/19,13,0,0.7,3.2,0,48.46991677,1
34,-81.02,12/2009/9,1634,0,3.9,23.6,2000,19.27286219,1
29.5101,-98.3771,11/2009/20,243,0,16.9,6.8,0,26.60842211,1
29.1156,-98.1484,11/2009/20,0,0,14.8,3.9,0,23.7802101,1
38.0048,-92.7371,11/2009/15,80,0,31.4,1.2,0,24.38096531,1
38.35,-92.58,11/2009/15,18,0,29.9,1.3,0,16.50417362,1
38.43,-92.84,11/2009/15,10,0,34.5,1.2,0,31.04904246,1
37.7155,-93.2538,11/2009/15,6,0,34.6,1,0,21.06502856,1
34.2771,-118.1504,12/2009/12,7,0,38.6,10.6,0,27.18388975,1
36.409,-89.35,10/2009/30,0,0,107.3,20.7,5000,7.857216163,1
31.8691,-85.2072,12/2009/14,17,0,34.1,25.2,25000,30.042353,1
33.0457,-93.4772,12/2009/24,2,0,122.3,41.4,0,4.370859629,1
32.2211,-92.84,12/2009/24,3,0,50.4,39.7,0,31.27970183,1
33.6159,-94.165,12/2009/24,1,0,86.9,29,0,20.43288479,1
44.72,-123.92,01/2009/2,65,0,20.1,22.2,0,83.28920243,1
45.48,-123.12,01/2009/2,26,0,39.6,113.4,0,6.250238196,1
44.75,-123.2,01/2009/2,3,0,25.4,30.4,0,56.01329554,1
45.2342,-122.7581,01/2009/3,103,0,5,53.3,0,20.80618098,1
45.4844,-122.5801,01/2009/2,3808,0,37.5,109,0,10.80103859,1
44.5308,-123.3664,01/2009/2,39,0,45.7,78.1,0,46.28646187,1
44.6754,-123.0122,01/2009/2,4,0,53.2,83.5,0,39.53359391,1
32.9811,-93.1627,12/2009/24,16,0,97.2,46.9,0,34.55718821,1
37.9,-92.59,10/2009/30,4,0,0.4,61.3,0,34.20789219,1
37.87,-92.59,10/2009/30,6,0,0.4,61.3,0,37.53007198,1
37.02,-91.28,10/2009/30,1,0,82.3,22.3,0,41.0563177,1
45.4787,-123.8523,01/2009/8,17,0,14.3,28.6,0,35.74123202,1
45.45,-123.71,01/2009/8,6,0,14.3,28.6,0,24.46825495,1
45.72,-123.89,01/2009/8,14,0,12.6,29.6,0,49.02853712,1
45.3966,-121.583,01/2009/7,4,0,21.4,13.1,0,21.46223055,1
45.47,-123.12,01/2009/8,22,0,32.3,80,0,6.240691285,1
44.75,-123.2,01/2009/8,3,0,16.4,18.1,0,56.01329554,1
32.3975,-93.7669,12/2009/24,265,0,97.7,32.8,0,13.36837681,1
35.2905,-91.7077,12/2009/24,5,0,45.5,19.1,100000,36.3620973,1
34.8624,-92.1446,12/2009/24,9,0,144.2,37.1,10000,26.42517013,1
35.2022,-91.7213,12/2009/24,6,0,45.5,19.1,25000,43.12103778,1
34.7673,-92.2326,12/2009/24,20,0,72.3,23.3,300000,25.46683668,1
45.9607,-123.9282,01/2009/7,12,0,86.6,19.4,0,44.00483106,1
46.0295,-123.9107,01/2009/7,155,0,86.6,19.4,0,41.88528991,1
45.98,-123.53,01/2009/8,5,0,22.5,111.1,0,13.82606769,1
37.6,-92.32,10/2009/30,0,0,27,68.8,0,72.59663789,1
37.05,-86.52,01/2009/29,4,0,0,34.9,10000,35.10781164,1
37.2545,-85.9024,01/2009/29,9,0,0,68.6,10000,30.56895594,1
37.1811,-86.6329,01/2009/29,3,0,0,36.5,7000,35.87952713,1
34.7276,-92.5551,12/2009/26,9,0,0,0.5,30000,15.49410211,1
35.77,-78.69,12/2009/2,257,0,36.3,0.6,0,21.74429558,1
35.7868,-78.7199,12/2009/2,282,0,36.3,0.6,0,21.51859898,1
35.84,-78.68,12/2009/2,667,0,22.7,0.5,0,14.61735547,1
36.1,-78.46,12/2009/3,92,0,0.2,28.3,0,20.44824197,1
37.93,-95.4,05/2009/8,183,0,34.3,0,35100,46.96793368,1
37.9496,-96.8156,05/2009/8,0,0,26.8,0,15000,12.11870289,1
46,-123.25,01/2009/7,6,0,54.8,18.5,0,9.840561674,1
46.1,-123.21,01/2009/8,131,0,20.3,54.8,0,14.28803416,1
38.23,-97.77,05/2009/8,24,0,23.4,0.3,200,45.49105383,1
37.53,-95.82,05/2009/8,91,0,12.8,0,80000,25.17706187,1
35.709,-90.52,10/2009/13,2,0,56.8,5.9,1000,24.91980706,1
37.87,-95.74,05/2009/8,53,0,34.5,0,200,21.44137022,1
38.9977,-93.2133,01/2009/1,0,0,0,0,0,78.81477396,1
36.33,-90.38,10/2009/30,4,0,136.9,29.7,0,67.5021853,1
45.3973,-122.5089,01/2009/2,78,0,51.9,114,0,12.71991909,1
45.2774,-122.7197,01/2009/2,14,0,53.3,113.6,0,15.33414074,1
45.3543,-121.9458,01/2009/2,4,0,43.9,96,0,14.20008942,1
31.2349,-89.0899,12/2009/14,6,0,91.8,14.5,0,40.24636045,1
32.1827,-93.2932,12/2009/24,47,0,85.1,33.1,0,19.59441333,1
46.7333,-120.726,01/2009/8,9,0,6.3,4.2,0,31.90186541,1
46.7036,-120.486,01/2009/7,11,0,4.2,3,0,49.30152519,1
46.0427,-118.4929,01/2009/8,9,0,8.6,8.3,0,53.90224999,1
35.3568,-90.47,10/2009/30,3,0,36.6,15,1000,26.36456458,1
36.1224,-90.48,10/2009/30,4,0,88.2,16.2,1000,68.81999323,1
45.459,-123.8417,01/2009/2,654,0,18,52.6,0,34.765304,1
32.0768,-85.5485,12/2009/14,2,0,52.1,23.2,10000,60.09954538,1
32.5613,-85.0661,12/2009/14,6,0,32.5,16.8,5000,5.653351816,1
33.7502,-88.1105,12/2009/24,17,0,23.4,1.1,5000,38.91063394,1
37.86,-91.77,10/2009/30,6,0,66.3,16.6,10000,38.95461988,1
35.1684,-90.1725,09/2009/18,77,0,21.9,15.7,0,46.06380436,1
34.57,-89.12,09/2009/18,4,0,15.1,21.9,0,64.24589086,1
34.7095,-88.9749,09/2009/18,9,0,35.6,44.2,0,63.21510008,1
34.83,-88.32,09/2009/18,8,0,19.9,31.3,0,27.42687929,1
34.62,-90.15,09/2009/20,9,0,23.9,42.9,0,15.34176017,1
35.1262,-89.7974,09/2009/20,348,0,23.4,48,0,50.72345936,1
39.0558,-87.6113,01/2009/1,7,0,0,0,5000,7.486384604,1
36,-78.8,12/2009/2,199,0,38.4,0.2,0,20.50947102,1
35.9735,-78.5341,12/2009/2,260,0,32.1,0.6,0,5.379769183,1
41.4824,-88.1907,06/2009/16,76,0,9.2,0,0,14.18493914,1
34.7315,-111.9745,09/2009/12,40,0,0,0.2,2000,55.79304039,1
38.6694,-87.5636,01/2009/2,3,0,0,0,0,39.15784125,1
40.1969,-85.3754,01/2009/6,201,0,4.1,0.1,0,9.048656187,1
34.2331,-118.2238,12/2009/13,629,0,4.3,43.2,0,24.73425256,1
34.978,-90.7567,09/2009/18,8,0,32.6,10,0,30.5495008,1
35.0622,-88.3781,09/2009/18,5,0,34.9,43.8,0,11.91940064,1
33.8776,-89.9586,09/2009/18,2,0,14.6,11.2,60000,18.88183414,1
33.76,-88.11,12/2009/8,64,0,36.7,3.5,100000,38.71273909,1
34.9434,-92.0991,12/2009/24,10,0,144.2,37.1,10000,28.09156182,1
35.0764,-90.0872,09/2009/18,124,0,44,35.1,40000,35.75819215,1
35.7,-88.13,09/2009/18,1,0,12.6,36.6,0,26.26228488,1
34.9062,-88.5062,09/2009/18,61,0,34.9,43.8,0,29.74795415,1
34.2187,-88.1474,12/2009/8,5,0,28,4.6,50000,26.08036207,1
37.0809,-95.6889,05/2009/8,8,0,1.6,0,25100,28.88365804,1
34.679,-88.55,09/2009/20,14,0,22.5,80.1,2000,27.06867633,1
35.3313,-86.5302,09/2009/20,4,0,30.9,58.6,0,30.06959047,1
34.6724,-87.3146,09/2009/25,28,0,10.2,6.5,0,16.05126765,1
35.3907,-82.4234,12/2009/25,29,0,69.3,2.1,0,21.92765022,1
36.2589,-91.0032,10/2009/9,8,0,46.1,8.5,1000,47.76163488,1
34.27,-88.72,10/2009/13,98,0,24.3,18.7,1000,26.98552263,1
34.3658,-89,10/2009/13,4,0,26.9,5.7,1000,53.95110742,1
35.1234,-90.77,09/2009/21,5,0,4.3,11.7,1000,45.37993203,1
35.8166,-90.7068,09/2009/21,238,0,3.9,8.9,1000,32.62669094,1
33.7425,-88.3248,09/2009/23,7,0,71.6,16,1000,20.60143389,1
34.9832,-88.9779,09/2009/23,7,0,42,13.3,10000,67.20050388,1
33.7481,-90.2015,09/2009/23,2,0,19.6,3.4,1000,40.67386191,1
33.899,-89.18,09/2009/24,3,0,19.4,66.1,1000,55.16837866,1
33.8786,-116.5602,12/2009/13,1,0,6.5,5.9,100000,27.56568337,1
36.93,-90.75,12/2009/24,8,0,89.5,9.2,0,23.04448092,1
36.6,-89.53,12/2009/24,41,0,84.1,11,0,29.55431121,1
39.47,-92.22,03/2009/24,22,0,50.5,15.4,0,35.72690958,1
40.1878,-87.4263,03/2009/9,7,0,0.3,67.4,0,60.31727805,1
38.9967,-87.5939,02/2009/11,5,0,52.2,6.3,0,7.944615653,1
42.9998,-78.1939,03/2009/8,964,0,24.4,11.5,10000,36.45780771,1
37.87,-83.92,01/2009/28,2,0,56.9,65.7,0,43.63969807,1
39.7377,-87.3858,03/2009/11,15,0,4.3,43.5,0,27.27224806,1
38.6979,-87.5155,02/2009/14,207,0,0.1,0,0,38.57346661,1
38.6955,-87.526,02/2009/13,10,0,0,0,0,38.830051,1
38.3803,-87.7821,02/2009/13,1,0,0,0,0,2.477920545,1
43.0991,-78.6474,03/2009/10,68,0,7.2,11.4,10000,30.74313866,1
38.9789,-86.9667,02/2009/11,2,0,19.7,7.5,0,13.42324067,1
38.9218,-87.1003,02/2009/11,2,0,12.5,1.6,0,20.44487306,1
38.8204,-87.2448,02/2009/11,17,0,10.3,1.6,0,30.13378696,1
38.001,-90.0577,12/2009/24,4,0,72.6,16.6,0,9.762930444,1
31.25,-90.47,03/2009/27,8,0,71.6,48.1,0,86.12893282,1
39.1355,-87.6621,03/2009/11,2,0,8.6,14.6,0,15.50223187,1
33.93,-89.33,02/2009/27,3,0,32.6,0.5,0,42.49003862,1
31.2282,-83.9081,03/2009/31,4,0,35.9,0,0,69.5680797,1
37.6208,-90.1593,12/2009/24,0,0,91.7,15.3,0,42.63973436,1
39.7377,-87.3858,03/2009/11,15,0,4.3,43.5,0,27.27224806,1
37.4197,-86.4852,05/2009/27,5,0,9.3,1.3,0,22.13749492,1
37.4231,-86.8929,05/2009/27,6,0,7.5,1.7,0,40.07354515,1
38.05,-93.7,03/2009/24,14,0,31.8,3.6,0,34.32981946,1
36.87,-94.37,03/2009/24,21,0,9.9,0.7,0,44.74087057,1
36.88,-83.87,01/2009/7,10,0,35.9,75.1,0,26.9417775,1
39.8175,-87.388,03/2009/9,6,0,0.1,54,0,29.43688696,1
41.7424,-96.7394,02/2009/10,5,0,0,7.5,0,86.35262398,1
46.4402,-97.6949,03/2009/27,52,0,0.3,2.1,500,53.71907683,1
36.93,-90.28,12/2009/24,5,0,129.6,15.9,0,0.305870014,1
38.29,-93.38,03/2009/24,2,0,35.4,3,0,3.613417165,1
37.16,-93.33,03/2009/24,305,0,33.8,1,0,19.25013668,1
40.121,-85.6869,02/2009/12,18,0,0.3,25.7,0,30.51415119,1
39.9209,-86.072,02/2009/12,904,0,0.1,15.4,0,7.649554847,1
42.9805,-78.7681,03/2009/9,932,0,1.4,18.4,10000,27.4703927,1
43.0986,-77.8738,03/2009/9,52,0,3.8,6.3,10000,38.90241297,1
37.4144,-90.0467,12/2009/24,7,0,110.4,12.1,0,48.98115804,1
36.58,-90.98,12/2009/24,7,0,145.7,29.1,0,58.19822123,1
37.3074,-89.5118,12/2009/29,26,0,0.1,0,0,43.81074322,1
39.9008,-86.1181,02/2009/12,251,0,0.8,32.3,0,11.46060546,1
40.4031,-86.9451,02/2009/28,8,0,0,5.7,0,32.51256511,1
40.1878,-87.4263,03/2009/9,7,0,0.3,67.4,0,60.31727805,1
38.5157,-87.2872,10/2009/10,17,0,0.2,15.6,0,20.14122865,1
40.4715,-86.8852,03/2009/8,87,0,65.9,36.1,0,23.40546566,1
38.8204,-87.2448,02/2009/11,17,0,10.3,1.6,0,30.13378696,1
38.5084,-87.3715,02/2009/11,5,0,11.5,5.8,0,27.52043353,1
38.4908,-87.541,02/2009/12,7,0,0,9.9,0,25.15278772,1
47.7851,-96.6276,03/2009/24,15,0,26.9,14.8,1000,38.97641824,1
46.8772,-96.78,03/2009/27,639,0,0.4,1.9,1000,62.4980045,1
37.38,-89.8157,12/2009/24,2,0,97.9,10.6,0,54.62470463,1
39.3843,-87.5322,02/2009/11,3,0,53.4,6.3,0,23.02519783,1
42.8558,-78.7563,03/2009/8,471,0,18.4,12.5,10000,38.64802746,1
37.2851,-89.525,03/2009/31,14,0,11.1,0,0,46.54988264,1
37.5903,-94.2311,03/2009/24,1,0,23.7,0.7,0,42.18076794,1
31.7093,-81.7333,03/2009/28,31,0,19.6,0.8,0,161.7621414,1
31.85,-81.6,03/2009/28,38,0,20.9,0.7,0,145.8727264,1
39.4919,-86.358,02/2009/11,133,0,29.9,8.4,0,24.99903844,1
39.5044,-86.4209,02/2009/11,12,0,29.9,8.4,0,25.88678752,1
43.004,-77.7827,03/2009/9,4,0,19.2,21.5,10000,28.69599571,1
39.2817,-86.7498,02/2009/11,61,0,14.1,6.1,0,26.83810828,1
30.4326,-83.6273,03/2009/31,54,0,42.4,0,0,97.89568834,1
42.0736,-78.4623,03/2009/11,51,0,10.4,18.5,10000,24.66553682,1
40.3001,-87.2479,02/2009/11,26,0,65.9,6.8,0,57.57507725,1
31.08,-88.23,03/2009/28,23,0,47,116.6,0,41.84510757,1
30.7,-88.08,03/2009/28,340,0,70.1,79.3,0,24.48260723,1
30.47,-88.2996,03/2009/28,37,0,59,55.2,0,27.42906168,1
30.62,-87.75,03/2009/28,171,0,78.6,51.1,0,56.98223865,1
29.9359,-100.0019,05/2009/27,3,0,17.9,1.2,0,112.0435819,1
36.7555,-116.9948,02/2009/7,0,0,16.4,5,0,109.3520883,1
34.0232,-115.2699,02/2009/7,3,0,12.1,0,0,100.5984844,1
42.8313,-78.779,03/2009/7,485,0,11,5.7,10000,40.00037904,1
30.35,-81.81,05/2009/20,62,0,29,51.8,0,93.64993887,1
39.7328,-87.3568,02/2009/11,3,0,36.1,1.2,0,24.76321086,1
39.7328,-87.3568,02/2009/11,3,0,36.1,1.2,0,24.76321086,1
39.904,-101.995,05/2009/21,0,0,6.6,1,3500,34.91430305,1
35.2,-77.55,06/2009/9,4,0,7.9,7.8,0,70.19802756,1
30.3329,-81.6521,05/2009/21,2234,0,53.3,29,0,92.95389028,1
43.7234,-100.23,02/2009/10,1,0,7.2,10.5,0,71.82755417,1
39.5099,-87.4275,02/2009/11,6,0,53.4,6.3,0,33.67209731,1
39.1257,-88.6121,04/2009/30,18,0,17.6,2.4,0,0.594389974,1
29.3113,-98.1924,05/2009/27,15,0,1.2,0,0,11.66244844,1
41.3571,-87.3569,04/2009/5,8,0,18.6,0,0,74.73843429,1
41.5701,-87.3405,04/2009/5,272,0,18.3,0,0,79.37576446,1
41.9257,-88.1311,04/2009/26,239,0,9.4,16.8,0,63.31982107,1
40.9806,-117.7483,05/2009/31,50,0,1,0.4,30000,52.6833131,1
41.5418,-117.8013,06/2009/5,1,0,1,0,5000,54.30562162,1
29.3643,-98.0738,05/2009/27,5,0,1.2,0,0,24.50335991,1
40.8972,-88.6521,04/2009/27,15,0,13.7,3.3,0,35.46881827,1
42.084,-87.9675,04/2009/27,272,0,8.4,17.3,0,68.03852571,1
41.1407,-87.9037,04/2009/27,34,0,12.9,3.5,0,29.18322829,1
41.1466,-88.8588,04/2009/27,22,0,17.8,6.2,0,24.07469367,1
29.6439,-81.2054,05/2009/18,53,0,107.5,4,0,60.11074264,1
41.5678,-88.0886,03/2009/8,103,0,8.2,10.5,0,26.49977089,1
29.8913,-81.3186,05/2009/19,820,0,89.7,92.6,0,63.5881443,1
40.6312,-91.1845,04/2009/30,21,0,19.4,1.7,0,95.92492882,1
41.0692,-90.85,04/2009/30,3,0,19.9,0,250,62.03449038,1
41.35,-92.4113,04/2009/30,6,0,8.4,0.9,0,47.71079538,1
41.4426,-90.4321,04/2009/1,59,0,0.1,3.7,0,60.17651958,1
41.6434,-88.0049,03/2009/8,300,0,8.2,10.5,0,37.32702269,1
41.6483,-87.7986,03/2009/8,75,0,9.9,13.1,0,49.30142146,1
41.6976,-87.6721,03/2009/8,2984,0,9.2,11.7,0,60.93545185,1
41.7304,-88.0307,03/2009/8,339,0,9.6,10.6,0,44.77334738,1
41.1688,-87.9305,03/2009/10,24,0,15.2,0.1,0,26.37208141,1
40.9293,-87.876,03/2009/10,2,0,40.9,0.3,0,43.26159205,1
40.6436,-87.7037,03/2009/10,2,0,46.1,0,0,76.95167715,1
41.461,-88.5956,03/2009/10,7,0,17.4,0.7,50000,21.6056264,1
42.1196,-87.8007,03/2009/10,113,0,34.5,0.3,0,73.77252864,1
40.6,-94.68,05/2009/15,5,0,35.3,0,10000,50.51305638,1
40.3717,-86.722,05/2009/1,5,0,1.5,18.2,0,31.89085112,1
40.3486,-86.6986,05/2009/1,14,0,1.5,18.2,0,34.66763345,1
40.62,-94.48,05/2009/15,3,0,35.3,0,10000,51.82186669,1
40.2762,-85.6604,02/2009/11,20,0,16.2,1.5,0,34.45530629,1
39.7164,-85.913,02/2009/11,42,0,36.5,8.5,0,22.09809482,1
39.8319,-86.4125,02/2009/11,102,0,28.6,8.1,0,9.440555561,1
44.37,-97.13,03/2009/22,6,0,21.7,0,0,100.0275431,1
44.37,-97.13,03/2009/22,6,0,21.7,0,0,100.0275431,1
39.5207,-85.8152,02/2009/11,21,0,19.2,3.9,0,36.73397462,1
38.7916,-86.447,02/2009/15,6,0,0,0,0,24.48765341,1
31.1,-91.3,03/2009/27,4,0,127.7,82.6,0,55.8220765,1
30.32,-89.33,03/2009/28,36,0,5.6,20.6,0,64.68170549,1
31.0871,-90.0124,03/2009/28,17,0,11.5,225.5,0,43.64090597,1
31.2879,-90.3035,03/2009/28,11,0,11.3,71.6,0,70.92656653,1
29.9,-90.13,03/2009/27,282,0,16.7,17.5,0,145.0298493,1
29.97,-90.38,03/2009/27,99,0,33.2,27.8,0,122.9069314,1
39.4054,-86.9985,02/2009/11,1,0,19.6,1.6,0,11.5624801,1
39.4473,-87.5025,02/2009/11,43,0,53.4,6.3,0,25.70747664,1
30.6917,-101.8197,04/2009/26,3,0,3.7,0,0,144.5930035,1
35.116,-80.613,03/2009/1,142,0,76.9,42.7,0,36.85872525,1
30.7077,-87.2919,03/2009/28,0,0,83.2,66.4,0,99.7719194,1
30.9494,-86.667,03/2009/28,2,0,62.9,99.8,0,53.90996669,1
30.821,-86.4652,03/2009/28,13,0,62.9,99.8,0,65.11238273,1
30.97,-86.47,03/2009/28,4,0,87.2,70.7,0,48.53889818,1
30.92,-88.58,03/2009/28,18,0,20.3,109.1,0,32.6508698,1
36.5254,-93.9427,04/2009/12,43,0,22.8,0,0,14.13250209,1
36.52,-94.48,04/2009/12,4,0,22.5,0,0,15.45970549,1
39.0555,-87.5797,03/2009/11,3,0,8.8,20.3,0,4.807521468,1
39.7598,-86.5326,02/2009/11,139,0,26.9,4.8,0,20.90360263,1
40.2966,-86.53,02/2009/11,29,0,32.1,2.8,0,44.41039103,1
39.8167,-86.3632,02/2009/11,19,0,28.6,8.1,0,5.243155655,1
41.4449,-96.8318,03/2009/4,9,0,0,0,0,52.77360145,1
43.827,-98.0814,03/2009/24,1,0,2.5,6.9,0,10.2790918,1
38.2842,-93.0036,04/2009/27,5,0,37,2.1,0,34.0040656,1
37.9829,-94.565,04/2009/27,12,0,23.2,12.9,0,40.41687435,1
37.0031,-95.0287,04/2009/29,0,0,14.2,11.7,0,48.66529507,1
30.9835,-90.217,03/2009/27,7,0,225.5,74.2,0,65.68167646,1
29.6,-90.72,03/2009/27,158,0,22.8,11.6,0,131.0973843,1
29.73,-90.6,03/2009/27,10,0,23.4,14.6,0,125.8541284,1
29.87,-89.98,03/2009/27,9,0,17.4,15.8,0,138.5699496,1
40.0446,-86.9432,02/2009/11,21,0,38.4,1.9,0,37.60804962,1
40.1595,-87.4457,02/2009/11,5,0,57.2,2.6,0,58.52403063,1
40.1655,-87.4433,02/2009/11,5,0,57.2,2.6,0,58.96997003,1
29.93,-89.97,03/2009/27,12,0,17.3,16,0,132.6488024,1
31.1077,-88.2552,03/2009/27,12,0,116.6,53.8,0,44.36276749,1
31.27,-88.03,03/2009/27,4,0,116.6,53.8,0,68.26599189,1
38.1494,-89.3283,12/2009/25,3,0,13.6,30.5,5000,33.82543929,1
39.23,-92.4108,03/2009/24,1,0,50.5,15.4,0,41.10580748,1
40.1057,-87.4217,02/2009/11,0,0,57.2,2.6,0,52.43454348,1
39.77,-87.3401,02/2009/11,4,0,22.8,1.2,0,23.93917293,1
